20170924_11-47-07,1
20170924_11-47-49,1
20170924_11-48-16,1
20170924_11-48-41,1
20170924_11-49-21,1
20170924_11-49-45,2
20170924_11-50-26,2
20170924_11-50-44,2
20170924_11-51-15,2
20170924_11-51-35,2
20170924_11-51-50,7
20170924_11-52-34,2
20170924_11-53-15,2
20170924_11-53-34,2
20170924_11-54-12,2
20170924_11-55-06,2
20170924_11-55-30,7
20170924_11-55-52,1
20170924_11-56-35,2
20170924_11-56-53,2
20170924_11-57-34,2
20170924_11-57-51,2
20170924_12-00-09,2
20170924_12-00-58,2
20170924_12-01-34,7
20170924_12-02-04,7
20170924_12-02-25,7
20170924_12-02-50,7
20170924_12-03-19,2
20170924_12-03-38,4
20170924_12-04-10,2
20170924_12-04-55,7
20170924_12-05-25,7
20170924_12-05-50,4
20170924_12-06-12,7
20170924_12-06-49,7
20170924_12-07-15,7
20170924_12-07-46,7
20170924_12-08-05,7
20170924_12-08-38,4
20170924_12-09-25,2
20170924_12-09-58,2
20170924_12-10-28,2
20170924_12-11-33,2
20170924_12-11-59,2
20170924_12-13-09,2
20170924_12-13-38,2
20170924_12-15-27,2
